SexDimorph,Attract,Cheater,Trust,Faithful,FaceSex,RaterSex
4.9,2,1,4.118,6.294,F,M
2.583,2.083,1,4,6.588,F,M
4.3,2.667,1,3.941,5.824,F,M
4.083,2.917,0,4.118,5.412,F,M
4.5,3.5,0,3.235,4,F,M
2,1.833,0,4.647,6.647,F,M
2.273,1.417,1,3.588,6.235,F,M
3.917,2.417,1,4.118,4.6,F,M
5.833,4.417,0,3.235,3.55,F,M
3.727,2.167,0,4.471,6.588,F,M
3.333,2.917,0,4.765,6,F,M
3.917,3.083,1,4.765,5,F,M
3.167,1.833,0,3.118,5.706,F,M
4,3.417,1,3.765,4.353,F,M
2.333,1.833,0,4.765,6.706,F,M
2.727,2.083,0,3.765,4.824,F,M
3.909,3,0,4.941,5.824,F,M
3.273,2.75,0,3.647,5.706,F,M
3.727,2.333,0,3.882,5.353,F,M
3.833,2.667,0,5,6.059,F,M
3.2,2.75,1,4.176,5.765,F,M
4,3,0,4.882,5.353,F,M
4.417,3.167,1,4,4.765,F,M
3.167,2.75,1,4.941,5.765,F,M
5.083,4.083,1,5.059,6.176,F,M
4.083,2.75,0,5.765,6.118,F,M
3.5,3.167,0,5.118,6.471,F,M
5.25,4.167,0,5.294,5.118,F,M
3,2.083,0,4.294,5.765,F,M
2.818,2.25,0,5.588,7.176,F,M
4.818,3.583,0,4.353,5.471,F,M
3.333,2.25,0,5.471,6.294,F,M
5.091,3.5,1,3.412,4.471,F,M
4.083,2.5,0,5.529,6.529,F,M
3.75,2.167,0,3.471,4.529,F,M
2.818,1.583,1,3.353,5.294,F,M
3.364,2.5,1,5.235,6.588,F,M
4.5,3.083,1,4.647,4.824,F,M
4.545,2.75,0,4.176,6.235,F,M
4.333,2.5,0,4.941,6.118,F,M
4.5,3.167,1,4.176,5.235,F,M
5,3.091,0,5.412,5.176,F,M
6,4.455,0,4.059,5.412,F,M
5.182,3.75,0,4.412,4.412,F,M
2.727,2.333,0,4.176,6.706,F,M
3.545,2.5,0,4.588,6.412,F,M
4.667,2.667,0,3.824,5.765,F,M
2.333,1.833,1,3.235,6.294,F,M
3.333,2.75,0,4.235,5.294,F,M
2.75,2.667,0,4.176,5.353,F,M
3.417,3.5,0,3.765,5.353,F,M
3,2.167,0,4,6.059,F,M
3.273,3.083,1,4.235,5.765,F,M
5,3.917,0,4.941,4.353,F,M
4.7,3.333,0,5.824,5.353,F,M
3.818,2.083,0,4.647,6.294,F,M
3.833,3.25,0,3.588,4.294,F,M
5.091,3.583,0,5.529,5.412,F,M
3.417,3.083,1,5.412,5.706,F,M
3.167,2.833,0,4.059,5,F,M
4.5,3.417,0,5.529,6.294,F,M
4.083,3.182,0,4.529,5.059,F,M
6.083,5.833,0,6.471,5.294,F,M
5.167,3.917,0,5.824,6.176,F,M
6.25,6.333,0,5.294,4.176,F,M
3.667,3.25,0,3.765,5.118,F,M
3.417,3,1,4.176,5.941,F,M
3.167,2.167,0,5.471,6.588,F,M
3.5,2.417,0,4.412,5.824,F,M
3.833,3.75,0,4.294,4.765,F,M
6.25,5.083,1,4.118,4.118,F,M
3.083,2.333,0,4.529,6.706,F,M
2.333,1.917,1,3.824,6.412,F,M
5.818,4,0,3.706,5,F,M
3.417,1.833,0,4.588,6.294,F,M
3.667,3.167,0,4.118,4.824,F,M
4.417,3.833,0,4.353,5.824,F,M
2.833,2.833,0,3.294,4.294,F,M
3.667,3,0,4.647,5.118,F,M
4.083,4.167,0,5.824,6.353,F,M
2.167,1.917,1,4.118,5.706,F,M
2.75,2.167,0,3.647,3.882,F,M
5.583,2.833,0,3.882,3.471,M,F
4.833,2.083,1,2.647,2.765,M,F
3.75,2,0,2.471,4.294,M,F
5.5,2.417,0,3.588,3.529,M,F
5,2.583,1,4.235,3.706,M,F
4.083,2.583,1,3.941,3.588,M,F
5,3.167,1,3.412,3.353,M,F
5.5,2.833,0,4.176,5.412,M,F
6.167,3.417,0,3.118,4,M,F
6.182,3.167,1,4.176,3.941,M,F
3.167,1.833,0,3.824,5.412,M,F
3.667,2.75,1,3.765,5,M,F
4.333,2.75,1,4.176,4.294,M,F
4.583,3,1,5,4.647,M,F
5.083,5.167,1,5.412,4.412,M,F
5.583,3.083,0,4.471,5.529,M,F
4.083,3.417,0,3.824,5.176,M,F
6.182,4.833,1,4.353,3.706,M,F
2.417,3.75,0,5.882,7,M,F
5.5,3.75,0,3.294,3.176,M,F
5.333,3.917,1,4.941,3.588,M,F
3.333,2.917,1,5.294,5.529,M,F
5.083,3.917,0,5.412,5.765,M,F
3.583,2.917,0,5.412,5.765,M,F
5.75,4.583,0,4.353,4,M,F
3.833,3.667,0,5.118,4.706,M,F
6.083,2.75,1,3.176,3.294,M,F
4.917,3,0,4.765,5.706,M,F
5.75,4.167,0,4.353,3.471,M,F
5.333,3.583,0,3.941,3.059,M,F
4.583,2.167,0,3.118,3.647,M,F
5.083,3.667,1,4.588,4.118,M,F
4.417,3.333,0,4.471,4.824,M,F
4.25,2.417,1,3.824,3.706,M,F
5.25,4.333,0,4.353,4.882,M,F
3.333,2,0,3.471,5.176,M,F
4.833,3.083,0,4.059,5,M,F
4.583,3.917,1,4.353,3.882,M,F
4.667,2.917,1,5.059,5.353,M,F
3.917,3.583,1,4.765,4.824,M,F
4.167,2.833,1,4.059,5.235,M,F
5.25,3.083,0,2.882,3.765,M,F
4.75,4.083,0,4.882,4.824,M,F
4.417,2.667,1,4.118,4.176,M,F
4.583,1.583,0,2.941,4.941,M,F
4.833,3.25,0,3.882,4.706,M,F
3.583,3.083,0,5.294,4.647,M,F
4.727,4,0,4.941,5.706,M,F
3.833,3.167,1,4.471,5.294,M,F
4.917,2.583,0,3.941,4.235,M,F
3.583,3,0,5.412,5.118,M,F
4.75,3.417,0,4.706,5.059,M,F
3.4,2.25,0,5.176,5.353,M,F
3.167,3.833,1,5.706,6.118,M,F
4.5,3.917,0,6.176,5.882,M,F
4.083,2.75,0,4,5.941,M,F
4.583,2.167,0,3.765,4.118,M,F
4.417,1.333,0,3.294,4.647,M,F
2.833,1.667,1,4.765,6.765,M,F
4.417,1.75,0,4.235,5.882,M,F
5.25,4.167,1,3.353,3.706,M,F
3.917,3.833,0,5.235,5.294,M,F
4.25,3.75,0,4.294,5,M,F
4.167,3.167,0,4.824,5.882,M,F
6,2.75,0,2.353,3.412,M,F
4,2.417,0,4.294,4.471,M,F
4.273,1.917,0,3.882,5.941,M,F
5.083,3.25,0,4.118,3.765,M,F
3,1.5,0,3.882,4.941,M,F
3.333,3.083,1,4.059,5.529,M,F
3.667,4.5,0,4.118,4.882,M,F
4,2.091,0,3.941,5.706,M,F
3.75,2.833,0,4.412,4.647,M,F
3.167,2.083,0,3.529,5.059,M,F
3.917,2.417,0,3.235,4.294,M,F
4.75,3,1,3.353,5.118,M,F
3.833,3.083,0,4.235,5.647,M,F
3.583,3.083,0,4.059,5.353,M,F
3,1.25,0,3.471,6.471,M,F
2.417,1.75,0,4.471,6.235,M,F
4.667,5.167,0,5.824,4.941,M,F
3.333,2.417,0,4.118,5.824,M,F
4.833,3.273,0,4.824,4.824,M,F
3.833,4.167,0,5.294,5.471,M,F
3.083,2.583,1,5.294,5.824,M,F
5.25,2.917,0,3,3.824,M,F
4.75,2.333,0,3,3.824,M,F
5.167,3.833,0,2.941,3.353,M,F
